Time,Profle,PWM,bus1dev1,bus1dev0,PlateAverage,error
41.70223,40.77226351851852,0.00045683416104927476,21.5,22.25,21.875,18.89726351851852
42.110054,40.77981581481482,0.00046618610732001046,21.5,22.25,21.875,18.904815814814818
42.518785,40.78738490740741,0.00047563224512704483,21.5,22.25,21.875,18.912384907407407
42.921264,40.794838222222225,0.00048501130328076675,21.5,22.25,21.875,18.919838222222225
43.327736,40.80236548148148,0.0004946037761062711,21.5,22.25,21.875,18.92736548148148
43.734894,40.809905444444446,0.0005043301919501602,21.5,22.25,21.875,18.934905444444446
44.144618,40.817492925925926,0.0005142416679046761,21.5,22.25,21.875,18.942492925925926
44.553554,40.82506581481481,0.0005242032893050963,21.5,22.25,21.875,18.950065814814813
44.961944,40.83262859259259,0.0005342399281846768,21.5,22.25,21.875,18.95762859259259
45.362968,40.84005496296296,0.0005475314807874101,21.5,22.0,21.75,19.09005496296296
45.771825,40.84762638888889,0.000554520391734911,21.5,22.25,21.875,18.97262638888889
46.477612,40.860696518518516,0.0005645538156148732,21.5,22.25,21.875,18.985696518518516
46.885836,40.86825622222222,0.0005830746928341262,21.5,22.25,21.875,18.99325622222222
47.292358,40.87578440740741,0.0005936946024476567,21.5,22.25,21.875,19.00078440740741
47.702777,40.88338475925926,0.0006045221588742234,21.5,22.25,21.875,19.008384759259258
48.107428,40.89087829629629,0.0006153359846145809,21.5,22.25,21.875,19.015878296296293
48.508947,40.89831383333333,0.0006302869354318953,21.5,22.0,21.75,19.148313833333333
48.919237,40.905911796296294,0.0006415103342421618,21.5,22.0,21.75,19.155911796296294
49.328954,40.91349914814815,0.0006485666097052248,21.5,22.25,21.875,19.038499148148148
49.737642,40.921067444444446,0.0006598841414402043,21.5,22.25,21.875,19.046067444444446
50.147047,40.92864901851852,0.0006713544977240332,21.5,22.25,21.875,19.05364901851852
50.54721,40.936059444444446,0.0006826403552261927,21.5,22.25,21.875,19.061059444444446
50.948436,40.94348955555556,0.000694036806015036,21.5,22.25,21.875,19.06848955555556
51.357206,40.95105937037037,0.0007057845571492567,21.5,22.25,21.875,19.076059370370373
51.766987,40.95864790740741,0.0007176738915734439,21.5,22.25,21.875,19.08364790740741
52.496794,40.97216285185185,0.0007299562517675894,21.5,22.25,21.875,19.09716285185185
52.9018,40.97966296296296,0.0007561384682039815,21.5,22.0,21.75,19.229662962962962
53.311467,40.98724938888889,0.0007635844696381118,21.5,22.25,21.875,19.11224938888889
53.717738,40.99477292592593,0.0007759024056171847,21.5,22.25,21.875,19.11977292592593
54.126639,41.002345166666665,0.0007883786807474509,21.5,22.25,21.875,19.127345166666665
54.535345,41.009913796296296,0.0008009305397470295,21.5,22.25,21.875,19.134913796296296
54.94508,41.01750148148148,0.0008136125640176606,21.5,22.25,21.875,19.14250148148148
55.355719,41.02510590740741,0.0008264532214596348,21.5,22.25,21.875,19.150105907407408
55.765544,41.032695259259256,0.0008448362611619738,21.5,22.0,21.75,19.282695259259256
56.174927,41.040276425925924,0.0008580038217356446,21.5,22.0,21.75,19.290276425925924
56.583994,41.04785174074074,0.0008655946193171382,21.5,22.25,21.875,19.17285174074074
56.994902,41.05546114814815,0.000878856756047659,21.5,22.25,21.875,19.180461148148147
57.405788,41.06307014814815,0.0008923254858755926,21.5,22.25,21.875,19.18807014814815
57.815484,41.07065711111111,0.0009058239728027104,21.5,22.25,21.875,19.19565711111111
58.511498,41.08354625925926,0.0009126548176061815,21.75,22.25,22.0,19.083546259259258
58.922335,41.09115435185185,0.0009488373869952408,21.5,22.0,21.75,19.34115435185185
59.329554,41.098695444444445,0.0009565382400420922,21.5,22.25,21.875,19.223695444444445
59.739882,41.10629411111111,0.0009705778441922705,21.5,22.25,21.875,19.23129411111111
60.147354,41.11383988888889,0.0009846247885096863,21.5,22.25,21.875,19.23883988888889
60.55795,41.12144351851852,0.0009988768938415267,21.5,22.25,21.875,19.246443518518518
60.967794,41.12903322222222,0.001012703260704738,21.5,22.25,21.875,19.25403322222222
61.369611,41.13647427777778,0.00102071179978887,21.75,22.25,22.0,19.13647427777778
61.769914,41.1438872962963,0.0010415368930877186,21.5,22.25,21.875,19.2688872962963
62.177183,41.15142931481481,0.001049318995839856,21.75,22.25,22.0,19.151429314814813
62.588088,41.15903866666667,0.0010710201052785686,21.5,22.25,21.875,19.284038666666667
62.994518,41.166565148148145,0.0010857298818578015,21.5,22.25,21.875,19.291565148148145
63.404178,41.17415144444445,0.0011007018507192003,21.5,22.25,21.875,19.299151444444448
63.81127,41.18169018518518,0.0011085544827188105,21.75,22.25,22.0,19.181690185185182
64.529549,41.19499164814815,0.001123629284163911,21.75,22.25,22.0,19.194991648148147
64.938564,41.202566,0.0011578335098473545,21.5,22.25,21.875,19.327565999999997
65.347441,41.210137796296294,0.0011733877268413748,21.5,22.25,21.875,19.335137796296294
65.758219,41.217744796296294,0.0011891438968010281,21.5,22.25,21.875,19.342744796296294
66.167914,41.22533174074074,0.0012127004969936265,21.5,22.0,21.75,19.475331740740742
66.576389,41.23289609259259,0.0012208550831853534,21.5,22.25,21.875,19.35789609259259
66.985524,41.24047266666667,0.0012368411442505586,21.5,22.25,21.875,19.36547266666667
67.393115,41.24802064814815,0.001245472508061922,21.75,22.25,22.0,19.24802064814815
67.79953,41.255546851851854,0.0012608824093729573,21.75,22.25,22.0,19.255546851851854
68.209046,41.26313048148148,0.0012771307561181095,21.75,22.25,22.0,19.263130481481483
68.618082,41.27070522222222,0.001293396768353018,21.75,22.25,22.0,19.27070522222222
69.026312,41.27826503703704,0.0013097467146873174,21.75,22.25,22.0,19.278265037037038
69.435216,41.28583733333333,0.0013262698370674528,21.75,22.25,22.0,19.285837333333333
69.843763,41.29340301851852,0.0013515461073291767,21.5,22.25,21.875,19.418403018518518
70.549221,41.30646705555556,0.0013678800894165255,21.5,22.25,21.875,19.431467055555558
70.959795,41.31407027777778,0.0013980140816686102,21.5,22.25,21.875,19.43907027777778
71.36927,41.32165314814815,0.0014152475342848684,21.5,22.25,21.875,19.44665314814815
71.776454,41.329193592592596,0.0014325443738292894,21.5,22.25,21.875,19.454193592592596
72.184795,41.33675546296296,0.0014408096821794314,21.75,22.25,22.0,19.336755462962962
72.594676,41.344345851851855,0.0014675992870924295,21.5,22.25,21.875,19.469345851851855
73.001655,41.3518825,0.001475725260477595,21.75,22.25,22.0,19.351882500000002
73.410618,41.35945588888889,0.0014934118797990277,21.75,22.25,22.0,19.35945588888889
73.820055,41.367038055555554,0.001511215852418972,21.75,22.25,22.0,19.367038055555554
74.227595,41.37458509259259,0.0015290616891172103,21.75,22.25,22.0,19.37458509259259
74.628231,41.382004277777774,0.0015566987120034551,21.5,22.25,21.875,19.507004277777774
75.037148,41.389576814814816,0.0015749820412386453,21.5,22.25,21.875,19.514576814814816
75.446852,41.39716392592592,0.0015833515810940511,21.75,22.25,22.0,19.397163925925923
75.855717,41.4047355,0.001601715724138828,21.75,22.25,22.0,19.4047355
76.561664,41.41780859259259,0.0016196724342985819,21.75,22.25,22.0,19.417808592592593
76.971026,41.42538937037037,0.0016524238773212509,21.75,22.25,22.0,19.425389370370368
77.378476,41.43293474074074,0.0016711565423263089,21.75,22.25,22.0,19.43293474074074
77.787604,41.44051118518519,0.0016901221248912996,21.75,22.25,22.0,19.440511185185187
78.1954,41.448062962962965,0.0017200758120960833,21.5,22.25,21.875,19.573062962962965
78.603667,41.45562346296296,0.0017173539670288479,22.0,22.25,22.125,19.33062346296296
79.01197,41.46318462962963,0.0017475905615753752,21.75,22.25,22.0,19.46318462962963
79.420455,41.470749166666664,0.0017669803995704334,21.75,22.25,22.0,19.470749166666664
79.828079,41.478297759259256,0.0017864877557032123,21.75,22.25,22.0,19.478297759259256
80.235624,41.48584488888889,0.0018061265693839759,21.75,22.25,22.0,19.48584488888889
80.644229,41.49341164814815,0.0018259017806270589,21.75,22.25,22.0,19.493411648148147
81.055136,41.501021037037034,0.0018458725005901003,21.75,22.25,22.0,19.501021037037034
81.462728,41.508569037037034,0.0018658535126762604,21.75,22.25,22.0,19.508569037037034
81.871367,41.51613642592593,0.0018860148559999724,21.75,22.25,22.0,19.51613642592593
82.579989,41.529259055555556,0.001905913883108261,21.75,22.25,22.0,19.529259055555556
82.990044,41.53685266666667,0.0019417216413482284,21.75,22.25,22.0,19.536852666666668
83.398861,41.544423351851854,0.001962282490548467,21.75,22.25,22.0,19.544423351851854
83.808296,41.55200548148148,0.001983084904796465,21.75,22.25,22.0,19.55200548148148
84.214648,41.55953051851852,0.00200385741926697,21.75,22.25,22.0,19.55953051851852
84.625593,41.567140611111114,0.002024973929607632,21.75,22.25,22.0,19.567140611111114
85.033065,41.574686388888885,0.0020330686106325466,21.75,22.5,22.125,19.449686388888885
85.44025,41.58222685185185,0.002054080272928132,21.75,22.5,22.125,19.45722685185185
85.847381,41.58976631481482,0.0020884327444307053,21.75,22.25,22.0,19.589766314814817
86.25621,41.59733722222222,0.002109953128957884,21.75,22.25,22.0,19.597337222222222
86.65634,41.604747037037036,0.0021311172726064084,21.75,22.25,22.0,19.604747037037036
87.063313,41.61228357407408,0.0021400827330087216,22.0,22.25,22.125,19.487283574074077
87.465114,41.61972433333333,0.002160417866807064,22.0,22.25,22.125,19.49472433333333
87.872924,41.62727637037037,0.0021950023960025772,21.75,22.25,22.0,19.627276370370367
88.590783,41.64057005555556,0.002218078100173694,21.75,22.25,22.0,19.640570055555557
88.999674,41.64814211111111,0.002229642742370723,22.0,22.5,22.25,19.398142111111113
89.400634,41.6555672962963,0.00227888478415533,21.75,22.25,22.0,19.655567296296297
89.808472,41.66311985185185,0.0022723513710385407,22.0,22.5,22.25,19.413119851851853
90.216371,41.67067353703704,0.002294624467800619,22.0,22.5,22.25,19.42067353703704
90.624618,41.678233666666664,0.0023317726754952116,22.0,22.25,22.125,19.553233666666664
91.033449,41.68580461111111,0.00233961490673743,22.0,22.5,22.25,19.43580461111111
91.442777,41.69338475925926,0.0023772205190396695,22.0,22.25,22.125,19.56838475925926
91.852737,41.70097661111111,0.002400275865188612,21.75,22.5,22.125,19.57597661111111
92.260736,41.70853214814815,0.0024233186121518577,22.0,22.25,22.125,19.58353214814815
92.669957,41.71611031481481,0.002446583778942259,22.0,22.25,22.125,19.591110314814813
93.080408,41.72371125925926,0.0024856676979414715,21.75,22.25,22.0,19.72371125925926
93.487971,41.73125872222222,0.0025093026759884576,21.75,22.25,22.0,19.731258722222222
93.896313,41.73882061111111,0.002533149670786977,21.75,22.25,22.0,19.73882061111111
94.595201,41.751762981481484,0.002556145539467501,21.75,22.25,22.0,19.751762981481484
95.004974,41.75935137037037,0.002598582698360812,21.75,22.25,22.0,19.759351370370368
95.404978,41.766758851851854,0.0026058871330624437,22.0,22.25,22.125,19.641758851851854
95.815369,41.774358685185184,0.002646749768595968,21.75,22.25,22.0,19.774358685185184
96.222286,41.78189418518519,0.002671243603366193,21.75,22.25,22.0,19.781894185185187
96.633001,41.78950001851852,0.002662227434947143,22.0,22.5,22.25,19.539500018518517
97.041681,41.79706816666667,0.002720608491195968,21.75,22.25,22.0,19.79706816666667
97.451604,41.80465933333333,0.0027455761358656243,21.75,22.25,22.0,19.804659333333333
97.862038,41.81225996296296,0.0027707318541510648,21.75,22.25,22.0,19.812259962962962
98.269056,41.819797333333334,0.002778419392661267,21.75,22.5,22.125,19.694797333333334
98.679629,41.827400537037036,0.0028036725215082408,21.75,22.5,22.125,19.702400537037036
99.089243,41.83498598148148,0.0028111823059519337,22.0,22.5,22.25,19.58498598148148
99.499228,41.842578296296296,0.0028364592556973174,22.0,22.5,22.25,19.592578296296296
99.89982,41.84999666666667,0.002861199632503451,22.0,22.5,22.25,19.59999666666667
100.606005,41.863074166666664,0.002886078884940824,22.0,22.5,22.25,19.613074166666664
101.016487,41.870675685185184,0.002930908203396645,22.0,22.5,22.25,19.620675685185184
101.423051,41.87820464814815,0.002956484426247011,22.0,22.5,22.25,19.62820464814815
101.832046,41.88577862962963,0.0029824728669935697,22.0,22.5,22.25,19.635778629629627
102.238009,41.893296462962965,0.0030082486567271304,22.0,22.5,22.25,19.643296462962965
102.646815,41.900866944444445,0.00303445559148422,22.0,22.5,22.25,19.650866944444445
103.057087,41.908464574074074,0.0030608638483316606,22.0,22.5,22.25,19.658464574074074
103.46561,41.91602981481481,0.003106612606638956,21.75,22.5,22.125,19.791029814814813
103.87204,41.9235562962963,0.003115091513811088,22.0,22.5,22.25,19.673556296296297
104.281472,41.93113837037037,0.0031601513572430493,21.75,22.5,22.125,19.80613837037037
104.6909,41.93872037037037,0.0031874026791588227,21.75,22.5,22.125,19.81372037037037
105.099867,41.946293833333335,0.0031946345422551948,22.0,22.5,22.25,19.696293833333335
105.508691,41.95386464814815,0.0032233621277085226,22.0,22.5,22.25,19.703864648148148
105.916184,41.96141081481481,0.003249143163420871,22.0,22.5,22.25,19.711410814814812
106.636957,41.97475846296296,0.0032973588952337186,21.75,22.5,22.125,19.84975846296296
107.037035,41.98216731481482,0.003345740638597361,21.75,22.5,22.125,19.857167314814816
107.437108,41.98957607407407,0.0033942379885708385,21.75,22.25,22.0,19.989576074074073
107.846326,41.99715418518519,0.003401441652066173,21.75,22.5,22.125,19.872154185185188
108.256291,42.00474612962963,0.003430024911103798,21.75,22.5,22.125,19.87974612962963
108.666537,42.01234327777778,0.0034585741990898573,21.75,22.5,22.125,19.88734327777778
109.074679,42.01990146296296,0.0035087708400853125,21.75,22.25,22.0,20.019901462962963
109.484313,42.02748727777778,0.003516024933047826,21.75,22.5,22.125,19.90248727777778
109.894397,42.035081425925924,0.0035450283315053366,21.75,22.5,22.125,19.910081425925924
110.301534,42.042621,0.0035740552069430352,21.75,22.5,22.125,19.917620999999997
110.712437,42.05023031481481,0.0036241078867562627,21.75,22.25,22.0,20.05023031481481
111.121524,42.057806,0.003632703964879212,21.75,22.5,22.125,19.932806
111.528212,42.06533725925926,0.0036830550803220504,21.75,22.25,22.0,20.06533725925926
111.935905,42.07288712962963,0.003691586971068897,21.75,22.5,22.125,19.947887129629628
112.656983,42.08624042592593,0.003744475771752307,21.75,22.25,22.0,20.08624042592593
113.065019,42.09379664814815,0.0037743501534467155,21.75,22.5,22.125,19.96879664814815
113.474748,42.10138422222222,0.0038045850365468334,21.75,22.5,22.125,19.976384222222222
113.88178,42.10892185185185,0.0038584351345077998,21.75,22.25,22.0,20.108921851851854
114.290573,42.116492092592594,0.003889167385469336,21.75,22.25,22.0,20.116492092592594
114.698761,42.12405112962963,0.003895852087519359,21.75,22.5,22.125,19.999051129629628
115.107109,42.13161312962963,0.003950765523055314,21.75,22.25,22.0,20.131613129629628
115.516958,42.13920292592593,0.003981931345654604,21.75,22.25,22.0,20.13920292592593
115.923819,42.14673738888889,0.00401303277937819,21.75,22.25,22.0,20.146737388888887
116.331385,42.15428490740741,0.004044368626256606,21.75,22.25,22.0,20.15428490740741
116.740215,42.161855833333334,0.004075830246771086,21.75,22.25,22.0,20.161855833333334
117.14804,42.16940814814815,0.004082265494284614,21.75,22.5,22.125,20.04440814814815
117.548041,42.17681557407408,0.0041385312341518645,21.75,22.25,22.0,20.176815574074077
117.948862,42.18423818518519,0.004144415196208245,21.75,22.5,22.125,20.059238185185187
118.668047,42.197556425925924,0.004176793056054797,21.75,22.5,22.125,20.072556425925924
119.069359,42.204988129629626,0.004206187716812163,22.0,22.5,22.25,19.954988129629626
119.480049,42.2125935,0.004264594048024987,21.75,22.5,22.125,20.087593499999997
119.888638,42.22015996296296,0.004297006994243317,21.75,22.5,22.125,20.09515996296296
120.29671,42.22771685185185,0.004304862266488431,22.0,22.5,22.25,19.977716851851852
120.705287,42.235283092592596,0.004362179496730885,21.75,22.5,22.125,20.110283092592596
