Time,Profle,PWM,bus1dev1,bus1dev0,PlateAverage,error
86.590222,32.21585183333333,0.021637405402516827,22.25,22.5,22.375,9.840851833333332
86.990825,32.249235416666664,0.02202189056570383,22.25,22.5,22.375,9.874235416666664
87.398719,32.28322658333333,0.02228749026356018,22.25,22.5,22.375,9.908226583333331
87.806667,32.31722225,0.02255595761280224,22.25,22.5,22.375,9.94222225
88.213716,32.351143,0.022826250540283297,22.25,22.5,22.375,9.976143
88.621847,32.38515391666667,0.023084868447541783,22.25,22.5,22.375,10.010153916666667
89.029212,32.419101,0.023199909126244558,22.5,22.5,22.5,9.919100999999998
89.436386,32.45303216666667,0.02346211232499175,22.25,22.75,22.5,9.953032166666667
89.844434,32.48703616666667,0.02373996466467395,22.5,22.5,22.5,9.98703616666667
90.251041,32.52092008333333,0.024209399535778057,22.25,22.5,22.375,10.14592008333333
90.659489,32.55495741666667,0.024301562117897507,22.5,22.5,22.5,10.054957416666667
91.068765,32.58906375,0.024587248349702346,22.5,22.5,22.5,10.089063750000001
91.477797,32.623149749999996,0.025070233814079603,22.25,22.5,22.375,10.248149749999996
91.883856,32.656988,0.025162511330417813,22.5,22.5,22.5,10.156987999999998
92.613491,32.717790916666665,0.02574643835413521,22.25,22.5,22.375,10.342790916666665
93.021072,32.751756,0.025985032300942526,22.5,22.5,22.5,10.251756
93.427399,32.78561658333333,0.026280065747424655,22.5,22.5,22.5,10.28561658333333
93.835089,32.819590749999996,0.026577600392964577,22.5,22.5,22.5,10.319590749999996
94.241085,32.85342375,0.02687730191887478,22.5,22.5,22.5,10.353423749999997
94.641825,32.886818749999996,0.027174789520260593,22.5,22.5,22.5,10.386818749999996
95.049237,32.92076975,0.027275136056446995,22.5,22.75,22.625,10.295769749999998
95.457331,32.95477758333333,0.02778830877356342,22.5,22.5,22.5,10.454777583333332
95.863947,32.98866225,0.02789081193398708,22.5,22.75,22.625,10.363662249999997
96.269483,33.02245691666666,0.028201040907449022,22.5,22.75,22.625,10.397456916666663
96.679015,33.05658458333333,0.02872753759762227,22.5,22.5,22.5,10.556584583333333
97.086786,33.0905655,0.02883256013956626,22.5,22.75,22.625,10.465565499999997
97.488026,33.12400216666666,0.029360787269965778,22.5,22.5,22.5,10.624002166666664
97.898041,33.15817008333333,0.029472059914878855,22.5,22.75,22.625,10.533170083333331
98.624279,33.21868991666667,0.02989834735361157,22.5,22.75,22.625,10.59368991666667
99.024325,33.25202708333333,0.03037251505103497,22.5,22.75,22.625,10.627027083333331
99.431897,33.28599141666667,0.03070344100244899,22.5,22.75,22.625,10.660991416666668
99.839935,33.31999458333333,0.031037315895720567,22.5,22.75,22.625,10.694994583333333
100.249171,33.354097583333335,0.0313752592256759,22.5,22.75,22.625,10.729097583333335
100.657083,33.38809025,0.0317145188642659,22.5,22.75,22.625,10.763090249999998
101.064304,33.42202533333333,0.032056271433714485,22.5,22.75,22.625,10.79702533333333
101.472011,33.45600091666667,0.03240008153799433,22.5,22.75,22.625,10.831000916666667
101.881157,33.49009641666667,0.03251665715903924,22.75,22.75,22.75,10.740096416666667
102.289573,33.52413108333333,0.03286348595980374,22.75,22.75,22.75,10.77413108333333
102.697923,33.55816025,0.03321191672659117,22.75,22.75,22.75,10.80816025
103.105295,33.59210791666666,0.03356383943216893,22.75,22.75,22.75,10.842107916666663
103.513338,33.6261115,0.03391789091458265,22.75,22.75,22.75,10.8761115
103.921205,33.660100416666666,0.03427392334758029,22.75,22.75,22.75,10.910100416666666
104.648911,33.72074258333333,0.03474880351225907,22.75,22.75,22.75,10.970742583333333
105.05685,33.7547375,0.035279528773390016,22.75,22.75,22.75,11.004737499999997
105.462761,33.78856341666667,0.035644421442021144,22.75,22.75,22.75,11.038563416666669
105.87033,33.8225275,0.036257158818213224,22.5,22.75,22.625,11.1975275
106.276543,33.85637858333333,0.03638487183985584,22.75,22.75,22.75,11.106378583333331
106.686422,33.890535166666666,0.036762012770983434,22.75,22.75,22.75,11.140535166666666
107.094099,33.92450825,0.03713984443299312,22.75,22.75,22.75,11.174508250000002
107.502749,33.958562416666666,0.037521291251274465,22.75,22.75,22.75,11.208562416666666
107.909704,33.99247533333333,0.03790425636360186,22.75,22.75,22.75,11.242475333333331
108.317213,34.02643441666667,0.03829053879627778,22.75,22.75,22.75,11.276434416666667
108.727577,34.060631416666666,0.03868265474575815,22.75,22.75,22.75,11.310631416666666
109.135923,34.09466025,0.039075577112603545,22.75,22.75,22.75,11.344660249999997
109.543994,34.12866616666667,0.03947120124369812,22.75,22.75,22.75,11.378666166666669
109.951904,34.162658666666665,0.03961110679991912,23.0,22.75,22.875,11.287658666666665
110.661469,34.221789083333334,0.040381694561706837,22.75,22.75,22.75,11.471789083333334
111.061687,34.255140583333336,0.04070306420765662,23.0,22.75,22.875,11.380140583333336
111.470586,34.2892155,0.0413726538001141,22.75,22.75,22.75,11.539215499999997
111.878626,34.323218833333335,0.041516554196286894,23.0,22.75,22.875,11.448218833333335
112.288064,34.357338666666664,0.04219589195801759,22.75,22.75,22.75,11.607338666666664
112.696593,34.39138275,0.04207488634552624,23.0,23.0,23.0,11.391382749999998
113.107585,34.42563208333333,0.042511075363860874,23.0,23.0,23.0,11.425632083333333
113.515789,34.45964908333333,0.04290874471755753,23.0,23.0,23.0,11.459649083333332
113.925663,34.49380525,0.04358271059849167,23.0,22.75,22.875,11.618805250000001
114.334226,34.52785216666667,0.04375262086264089,23.0,23.0,23.0,11.52785216666667
114.743383,34.56194858333333,0.04417765987099315,23.0,23.0,23.0,11.561948583333333
115.152881,34.59607341666666,0.04460661289865671,23.0,23.0,23.0,11.596073416666663
