Time,Profile,PWM,bus1dev1,bus1dev0,bus0dev0,PlateAverage,error,kp,ki,kd
109.989397,100.0,0.5906778217338559,38.0,42.75,40.0,40.25,61.191666666666556,0.009577930075492179,4.587600069167156e-06,-1.486545976377312e-06
111.500607,100.0,0.5993444964981257,38.75,43.5,40.75,41.0,60.479999999999805,0.009830731332378141,4.781087077119203e-06,-1.5257820835826127e-06
113.008186,100.0,0.6074358584161652,39.5,44.25,41.5,41.75,59.74966666666666,0.01008302655386241,4.977609640210219e-06,-1.5649396513869846e-06
114.514599,100.0,0.6150917802303606,40.25,44.75,42.5,42.5,59.01433333333344,0.010335008848126855,5.177330027474093e-06,-1.6040486512131095e-06
116.022346,100.0,0.6221856828110451,41.0,45.75,43.0,43.25,58.2616666666666,0.010586797830034836,5.380359025076529e-06,-1.6431276479275583e-06
117.529929,100.0,0.6286387126675395,41.75,46.5,44.0,44.083333333333336,57.488166666666515,0.010837908703682024,5.586325671774667e-06,-1.682101398612993e-06
119.041401,100.0,0.6344824087989823,42.75,47.25,44.75,44.916666666666664,56.69500000000008,0.011088910521878425,5.795725484797274e-06,-1.721058223309169e-06
120.543231,100.0,0.6398853833713288,43.5,48.25,45.5,45.75,55.91100000000007,0.011337269233176914,6.006381147384935e-06,-1.7596048236778266e-06
122.049944,100.0,0.6443837273892792,44.25,49.0,46.25,46.5,55.084333333333355,0.011585193289526901,6.220092219585477e-06,-1.798083963273674e-06
123.560777,100.0,0.6480637869455199,45.25,50.0,47.25,47.5,54.226999999999926,0.011832226727542262,6.436559259262217e-06,-1.8364248741404134e-06
125.062752,100.0,0.651126949737428,46.0,51.0,48.25,48.416666666666664,53.36749999999988,0.012076115354968468,6.653753146469965e-06,-1.8742776935833332e-06
126.573741,100.0,0.6532828448467236,47.0,52.0,49.0,49.333333333333336,52.47049999999999,0.012319451482198367,6.873947968857911e-06,-1.9120447620406767e-06
128.081738,100.0,0.6547857942197879,48.0,53.0,50.0,50.333333333333336,51.56666666666683,0.012560233675526965,7.0953052078787454e-06,-1.9494154462965257e-06
129.582867,100.0,0.6560429006000066,49.0,54.0,51.0,51.333333333333336,50.690666666666715,0.012797714104224483,7.317014269315226e-06,-1.986273679021767e-06
131.093113,100.0,0.656482937995068,49.75,55.0,51.75,52.166666666666664,49.78833333333327,0.013033993097526496,7.540882639727611e-06,-2.02294544254761e-06
132.601005,100.0,0.6557435282435239,50.75,56.0,52.5,53.083333333333336,48.84049999999985,0.013267206338392293,7.765224949235177e-06,-2.0591413848978224e-06
134.110714,100.0,0.654047698341044,51.75,57.0,53.5,54.083333333333336,47.863333333333436,0.013497926307655625,7.990600513860082e-06,-2.094950358159779e-06
135.617923,100.0,0.6515561632036851,52.75,58.0,54.5,55.083333333333336,46.87233333333334,0.013725336376418932,8.216205069337868e-06,-2.130245617160749e-06
137.129151,100.0,0.6485665817543311,53.5,59.0,55.5,56.0,45.8866666666667,0.01395007807312751,8.442620673439922e-06,-2.16512673054673e-06
138.640933,100.0,0.6451043832871104,54.75,60.25,56.5,57.166666666666664,44.908499999999876,0.014171781464910573,8.669420663207443e-06,-2.199536282757547e-06
140.143046,100.0,0.6414159059591383,55.5,61.0,57.5,58.0,43.96049999999984,0.014388376972559565,8.89436061908594e-06,-2.2331530640306495e-06
141.648947,100.0,0.6366208144815532,56.5,62.25,58.25,59.0,42.97216666666666,0.014602460654370241,9.119941826058646e-06,-2.2663799964988557e-06
143.157027,100.0,0.6314535711591304,57.5,63.25,59.25,60.0,41.9966666666667,0.014813239531028272,9.345367881925113e-06,-2.299094005531242e-06
144.665894,100.0,0.6255475647479118,58.5,64.25,60.0,60.916666666666664,41.009499999999996,0.015020321808809294,9.570136472345101e-06,-2.3312342826462322e-06
146.172531,100.0,0.6190839410919446,59.5,65.25,61.0,61.916666666666664,40.02366666666658,0.015223212152037233,9.793608381803236e-06,-2.362723949097542e-06
147.673533,100.0,0.6124181083030744,60.5,66.25,62.0,62.916666666666664,39.061833333333325,0.015421731484035679,1.0015460332119833e-05,-2.393535211227175e-06
149.176977,100.0,0.6056195404777046,61.5,67.25,63.0,63.916666666666664,38.12516666666677,0.01561650246221968,1.0236017334272892e-05,-2.4237647087963074e-06
